"lat" "lon" "time"
"1" 51.509854 -0.13418 1181979048
"2" 51.509854 -0.13418 1181979028
"3" 51.509924 -0.135204 1196269491
"4" 51.504916 -0.146736 1217098500
"5" 51.507493 -0.141448 1290612284
"6" 51.509854 -0.13418 1181985005
"7" 51.507974 -0.139474 1181477890
"8" 51.5101 -0.1337 1187358896
"9" 51.510148 -0.134432 1203700837
"10" 51.509798 -0.134781 1210723200
"11" 51.510184 -0.134561 1210367397
"12" 51.510184 -0.134561 1210347552
"13" 51.510184 -0.134561 1210347523
"14" 51.50713 -0.141913 1217098789
"15" 51.50978 -0.134947 1231498110
"16" 51.510128 -0.134581 1233824430
"17" 51.509937 -0.134496 1208115523
"18" 51.509937 -0.134496 1208115945
"19" 51.510111 -0.134346 1259887383
"20" 51.510138 -0.134995 1261431780
"21" 51.510074 -0.134518 1264790906
"22" 51.510612 -0.134863 1266763675
"23" 51.509677 -0.135108 1274029992
"24" 51.509834 -0.134475 1246128565
"25" 51.510104 -0.134797 1282049207
"26" 51.508545 -0.138005 1288021824
"27" 51.508982 -0.138541 1288021924
"28" 51.508111 -0.139507 1288022314
"29" 51.508989 -0.139507 1288022143
"30" 51.508989 -0.139507 1288022077
"31" 51.508111 -0.139507 1288022885
"32" 51.508585 -0.139088 1288022249
"33" 51.508338 -0.139721 1288022834
"34" 51.508545 -0.138005 1288021851
"35" 51.508585 -0.139088 1288022873
"36" 51.508338 -0.139721 1288022376
"37" 51.508545 -0.138005 1288021844
"38" 51.508765 -0.139281 1288022158
"39" 51.508585 -0.139088 1288022280
"40" 51.508431 -0.138434 1288022019
"41" 51.508431 -0.138434 1288022005
"42" 51.508585 -0.139088 1288022280
"43" 51.508682 -0.137618 1288021966
"44" 51.510238 -0.134582 1291916379
"45" 51.510071 -0.13485 1173459554
"46" 51.508194 -0.139764 1173818552
"47" 51.511012 -0.130119 1174159923
"48" 51.506866 -0.142714 1174221067
"49" 51.506866 -0.142714 1174221253
"50" 51.506866 -0.142714 1174221323
"51" 51.506866 -0.142714 1174221339
"52" 51.506866 -0.142714 1174221363
"53" 51.506866 -0.142714 1174220882
"54" 51.506866 -0.142714 1174221464
"55" 51.506866 -0.142714 1174222015
"56" 51.506866 -0.142714 1174220919
"57" 51.506866 -0.142714 1174222019
"58" 51.506866 -0.142714 1174221496
"59" 51.506866 -0.142714 1174221172
"60" 51.506866 -0.142714 1174220725
"61" 51.506866 -0.142714 1174220878
"62" 51.506866 -0.142714 1174221119
"63" 51.506866 -0.142714 1174221775
"64" 51.506866 -0.142714 1174220867
"65" 51.506866 -0.142714 1174221978
"66" 51.506866 -0.142714 1174221454
"67" 51.506866 -0.142714 1174221346
"68" 51.506866 -0.142714 1174221997
"69" 51.506866 -0.142714 1174220912
"70" 51.506866 -0.142714 1174222115
"71" 51.506866 -0.142714 1174221486
"72" 51.506866 -0.142714 1174221261
"73" 51.506866 -0.142714 1174221334
"74" 51.506866 -0.142714 1174221461
"75" 51.506866 -0.142714 1174220786
"76" 51.506866 -0.142714 1174221268
"77" 51.506866 -0.142714 1174221072
"78" 51.506866 -0.142714 1174222029
"79" 51.506866 -0.142714 1174221491
"80" 51.506866 -0.142714 1174220777
"81" 51.506866 -0.142714 1174222039
"82" 51.506866 -0.142714 1174222054
"83" 51.506866 -0.142714 1174221062
"84" 51.506866 -0.142714 1174222057
"85" 51.506866 -0.142714 1174223781
"86" 51.506866 -0.142714 1174223030
"87" 51.506866 -0.142714 1174223300
